"기초자치단체",지체,뇌병변,시각,청각,언어,지적장애,자폐성,정신장애,신장장애,심장장애,호흡기,간,안면,장루요루,뇌전증
"포항시",12630,2524,2596,4301,215,2252,296,977,960,133,109,161,23,137,70
"경주시",7670,1418,1589,2867,142,1340,78,603,551,24,73,69,20,81,35
"김천시",4750,905,913,2234,68,1026,79,587,286,14,35,41,12,58,24
"안동시",6284,1263,1059,2280,83,1476,101,784,325,13,41,58,16,41,20
"구미시",6919,1502,1522,2817,174,1831,257,622,645,26,57,105,27,74,35
"영주시",3785,805,709,1359,50,795,44,434,190,11,39,46,5,52,23
"영천시",3472,707,727,1782,49,789,44,423,211,9,20,31,14,53,17
"상주시",3801,712,736,2619,45,758,43,407,220,7,30,36,12,41,12
"문경시",3034,510,642,1428,25,473,36,205,135,5,35,38,6,33,13
"경산시",5951,1333,1245,2781,146,1695,124,569,524,11,44,70,12,75,30
"군위군",1078,184,183,718,15,208,11,72,48,2,2,8,-,13,2
"의성군",2648,515,483,1598,32,497,15,234,119,8,23,14,4,31,6
"청송군",1278,221,250,753,13,180,2,90,34,2,10,17,2,13,4
"영양군",846,151,152,496,9,167,7,67,32,1,6,11,3,11,4
"영덕군",1797,321,405,696,22,249,10,149,88,3,19,16,6,27,9
"청도군",1880,324,348,1031,31,314,14,156,100,8,16,21,5,23,11
"고령군",1351,305,247,772,14,277,4,82,72,2,8,14,1,18,6
"성주군",1706,321,314,930,28,357,15,134,84,4,8,30,2,20,9
"칠곡군",2700,571,548,1278,65,668,52,347,184,11,29,26,8,25,11
"예천군",2390,466,422,1145,27,431,18,183,84,5,23,24,10,23,8
"봉화군",1549,236,274,667,18,250,9,108,78,-,11,21,4,13,10
"울진군",2055,325,407,586,20,362,23,154,97,6,18,18,4,19,12
"울릉군",285,40,57,111,3,28,2,13,8,1,2,4,2,1,1
