기초자치단체,재정자립도 (%),재정자주도 (%)
소계,60.5,69.4
소계,52.8,53.6
소계,41.3,60.6
소계,42.4,60.4
수원시,48.1,56.2
성남시,58.1,66
고양시,38.7,56.4
부천시,53,62.3
용인시,34.4,56.5
안산시,40.2,53.1
안양시,39.4,60.3
남양주시,32.8,58.8
의정부시,68.9,74.7
평택시,45.9,64.1
시흥시,26.6,54.3
화성시,43.4,61.9
광명시,31.5,50.1
파주시,35,57.9
군포시,37.7,56.4
광주시,34.1,57.4
김포시,41,59.3
이천시,55.6,72.2
구리시,28.7,63.3
양주시,29.6,55.5
안성시,31.4,59.2
포천시,32.5,65
오산시,26.8,64.1
하남시,37.3,59.5
의왕시,43.5,53.5
동두천시,23.7,64.5
과천시,12.7,49.5
여주시,43.1,71.2
소계,17.5,64.3
양평군,17.7,63.3
가평군,18.3,64.7
연천군,16.4,65.1
