"기초자치단체",재정자립도 (%),재정자주도 (%)
"종로구",47.4083018514, 63.5761819157
"중구",54.9287169587, 61.1374615687
"용산구",39.1823576698, 55.5299621108
"성동구",32.5022634934, 54.7573514074
"광진구",26.7164616669, 51.9751602788
"동대문구",23.7728583513, 48.9703264939
"중랑구",18.1461365407, 42.8875382971
"성북구",19.568625031, 46.4412038979
"강북구",16.7806398957, 42.0631652718
"도봉구",17.800278642, 45.8235540968
"노원구",15.3662207896, 41.1954238011
"은평구",17.4555813536, 40.8408635359
"서대문구",24.0679929193, 48.2321305138
"마포구",30.6815547724, 48.349006659
"양천구",24.5170657286, 48.0348866389
"강서구",19.7144235239, 38.1697054348
"구로구",21.8390495161, 45.9774612903
"금천구",25.3131085946, 49.4290027509
"영등포구",35.6880780053, 51.0448370963
"동작구",25.958147749, 48.7280501838
"관악구",18.7038054299, 43.5700348416
"서초구",53.3285320388, 58.8999642758
"강남구",54.4281554611, 55.8395957694
"송파구",38.4321893216, 47.2338387087
"강동구",22.2353666311, 40.7743184313
